,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Joe Murphy,VAN,F,17,7,4,5,4,3,4,3,1,7,4,4,2,4,2
Tony Granato,VAN,F,21,6,4,5,4,4,3,3,0,7,3,3,3,3,4
Pat Verbeek,VAN,F,16,7,4,4,4,3,4,4,0,7,5,4,4,4,4
Jason Dawe,VAN,F,43,8,4,5,3,2,3,4,1,7,4,4,3,3,1
Rem Murray,VAN,F,13,5,4,4,4,3,4,3,1,7,4,4,4,4,2
Ville Peltonen,VAN,F,7,5,5,4,3,2,2,0,1,10,2,3,4,4,1
Glen Wesley,VAN,D,20,8,5,4,3,3,3,3,1,10,3,4,4,3,1
Chris Therien,VAN,D,6,11,3,4,4,4,2,2,1,7,3,3,4,3,4
Wade Redden,VAN,D,8,4,4,5,3,4,4,3,1,10,3,4,4,4,3
Greg Hawgood,VAN,D,4,7,2,2,2,3,3,4,1,5,2,3,2,4,4
